Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,outlet_age,Item_Visibility_bins,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_type_combined_Drinks,Item_type_combined_Food,Item_type_combined_Non-Consumable
FDA15,9.3,1097,Dairy,249.8092,OUT049,1999,3735.138,24,lowviz,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
DRC01,5.92,1436,Soft Drinks,48.2692,OUT018,2009,443.4228,14,lowviz,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
FDN15,17.5,1172,Meat,141.618,OUT049,1999,2097.27,24,lowviz,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDX07,19.2,0,Fruits and Vegetables,182.095,OUT010,1998,732.38,25,,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
NCD19,8.93,0,Household,53.8614,OUT013,1987,994.7052,36,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
FDP36,10.395,0,Baking Goods,51.4008,OUT018,2009,556.6088,14,,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDO10,13.65,662,Snack Foods,57.6588,OUT013,1987,343.5528,36,lowviz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDP10,12.792854228644991,11237,Snack Foods,107.7622,OUT027,1985,4022.7636,38,viz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDH17,16.2,1162,Frozen Foods,96.9726,OUT045,2002,1076.5986,21,lowviz,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDU28,19.2,9593,Frozen Foods,187.8214,OUT017,2007,4710.535,16,viz,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDY07,11.8,0,Fruits and Vegetables,45.5402,OUT049,1999,1516.0266,24,,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDA03,18.5,5230,Dairy,144.1102,OUT046,1997,2187.153,26,lowviz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDX32,15.1,9938,Fruits and Vegetables,145.4786,OUT049,1999,1589.2646,24,viz,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDS46,17.6,5450,Snack Foods,119.6782,OUT046,1997,2145.2076,26,lowviz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDF32,16.35,7561,Fruits and Vegetables,196.4426,OUT013,1987,1977.4260000000002,36,viz,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDP49,9.0,7610,Breakfast,56.3614,OUT046,1997,1547.3192,26,viz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
NCB42,11.8,218,Health and Hygiene,115.3492,OUT018,2009,1621.8888,14,lowviz,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDP49,9.0,7618,Breakfast,54.3614,OUT049,1999,718.3982,24,viz,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
DRI11,12.792854228644991,3661,Hard Drinks,113.2834,OUT027,1985,2303.6679999999997,38,lowviz,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDU02,13.35,10050,Dairy,230.5352,OUT035,2004,2748.4224,19,viz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDN22,18.85,11642,Snack Foods,250.8724,OUT013,1987,3775.086,36,highviz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDW12,12.792854228644991,3847,Baking Goods,144.5444,OUT027,1985,4064.0432,38,lowviz,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
NCB30,14.6,2349,Household,196.5084,OUT035,2004,1587.2672,19,lowviz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDC37,12.792854228644991,6557,Baking Goods,107.6938,OUT019,1985,214.3876,38,lowviz,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDR28,13.85,2399,Frozen Foods,165.021,OUT046,1997,4078.025,26,lowviz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
NCD06,13.0,9929,Household,45.906000000000006,OUT017,2007,838.908,16,viz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDV10,7.645,7424,Snack Foods,42.3112,OUT035,2004,1065.28,19,viz,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DRJ59,11.65,1440,Hard Drinks,39.1164,OUT013,1987,308.9312,36,lowviz,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDE51,5.925,12259,Dairy,45.5086,OUT010,1998,178.4344,25,highviz,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
FDC14,12.792854228644991,7894,Canned,43.6454,OUT019,1985,125.8362,38,viz,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDV38,19.25,12439,Dairy,55.7956,OUT010,1998,163.7868,25,highviz,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
NCS17,18.6,8646,Health and Hygiene,96.4436,OUT018,2009,2741.7644,14,viz,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDP33,18.7,0,Snack Foods,256.6672,OUT018,2009,3068.0064,14,,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDO23,17.85,0,Breads,93.1436,OUT045,2002,2174.5028,21,,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRH01,17.5,9792,Soft Drinks,174.8738,OUT046,1997,2085.2856,26,viz,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
NCX29,10.0,9219,Health and Hygiene,146.7102,OUT049,1999,3791.0652,24,viz,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDV20,12.792854228644991,6749,Fruits and Vegetables,128.0678,OUT027,1985,2797.6916,38,lowviz,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
DRZ11,8.85,10578,Soft Drinks,122.5388,OUT018,2009,1609.9044,14,viz,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
FDX10,12.792854228644991,11063,Snack Foods,36.9874,OUT027,1985,388.1614,38,viz,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDB34,12.792854228644991,2530,Snack Foods,87.6198,OUT027,1985,2180.495,38,lowviz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDU02,13.35,10051,Dairy,230.6352,OUT046,1997,3435.528,26,viz,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDK43,9.8,2595,Meat,126.00200000000001,OUT013,1987,2150.534,36,lowviz,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDA46,13.6,10796,Snack Foods,192.9136,OUT049,1999,2527.3768,24,viz,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDC02,21.35,7613,Canned,259.9278,OUT018,2009,6768.5228,14,viz,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDL50,12.15,4822,Canned,126.5046,OUT013,1987,373.5138,36,lowviz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDM39,6.42,9240,Dairy,178.1002,OUT010,1998,358.2004,25,viz,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
NCP05,19.6,0,Health and Hygiene,153.3024,OUT045,2002,2428.8384,21,,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDV49,10.0,2395,Canned,265.2226,OUT045,2002,5815.0972,21,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDL12,15.85,10967,Baking Goods,60.622,OUT046,1997,2576.646,26,viz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
NCL17,7.39,7541,Health and Hygiene,143.8812,OUT046,1997,3134.5864,26,viz,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDM40,10.195,12197,Frozen Foods,141.5154,OUT013,1987,850.8924,36,highviz,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDR13,9.895,2865,Canned,117.0492,OUT013,1987,810.9444,36,lowviz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDA43,10.895,7253,Fruits and Vegetables,196.3794,OUT017,2007,3121.2704,16,viz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCP18,12.15,2875,Household,151.4708,OUT017,2007,4815.0656,16,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDK21,7.905,368,Snack Foods,249.0408,OUT018,2009,6258.52,14,lowviz,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCX54,9.195,5577,Household,106.1622,OUT045,2002,2117.244,21,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
DRK35,8.365,7873,Hard Drinks,38.0506,OUT049,1999,796.9626,24,viz,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDY21,15.1,12517,Snack Foods,194.511,OUT046,1997,4910.275,26,highviz,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDI26,12.792854228644991,6885,Canned,180.0344,OUT019,1985,892.172,38,lowviz,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDM20,10.0,0,Fruits and Vegetables,246.9144,OUT018,2009,3185.1872,14,,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDV27,7.97,4524,Meat,87.3514,OUT045,2002,1062.6168,21,lowviz,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDF09,12.792854228644991,568,Fruits and Vegetables,38.2848,OUT027,1985,484.7024,38,lowviz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDY40,12.792854228644991,11992,Frozen Foods,51.0692,OUT019,1985,147.8076,38,highviz,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDY45,12.792854228644991,2439,Snack Foods,255.8356,OUT027,1985,2543.356,38,lowviz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDH19,19.35,3517,Meat,172.5738,OUT035,2004,4865.6664,19,lowviz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDZ03,13.65,8496,Dairy,186.024,OUT045,2002,1118.5439999999999,21,viz,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRH37,17.6,4706,Soft Drinks,164.8526,OUT045,2002,2302.3364,21,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
NCI17,8.645,11842,Health and Hygiene,95.84100000000001,OUT046,1997,2027.361,26,highviz,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDJ58,15.6,10230,Snack Foods,170.1764,OUT046,1997,3435.528,26,viz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDL12,15.85,10959,Baking Goods,59.222,OUT013,1987,599.22,36,viz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDH35,18.25,0,Starchy Foods,164.7526,OUT045,2002,4604.6728,21,,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDG02,7.855,507,Canned,189.6188,OUT017,2007,2285.0256,16,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCZ18,7.825,12718,Household,254.3698,OUT049,1999,5580.7356,24,highviz,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
FDC29,8.39,2129,Frozen Foods,114.0176,OUT046,1997,2290.3520000000003,26,lowviz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDQ10,12.85,3538,Snack Foods,172.3422,OUT049,1999,1207.0954,24,lowviz,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDN48,12.792854228644991,10612,Baking Goods,89.9804,OUT019,1985,643.1628,38,viz,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDL04,19.0,10548,Frozen Foods,104.9622,OUT017,2007,1587.933,16,viz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDV25,5.905,0,Canned,222.5456,OUT045,2002,5305.0944,21,,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDD58,7.76,6736,Snack Foods,101.87,OUT046,1997,1697.79,26,lowviz,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDN04,11.8,785,Frozen Foods,180.3344,OUT046,1997,1427.4752,26,lowviz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDV45,16.75,5190,Snack Foods,187.9556,OUT018,2009,4693.89,14,lowviz,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDR12,12.792854228644991,3302,Baking Goods,171.3764,OUT027,1985,3091.9752,38,lowviz,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDG20,15.5,11198,Fruits and Vegetables,177.0028,OUT017,2007,2479.4392,16,viz,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDZ55,6.055,2315,Fruits and Vegetables,160.99200000000002,OUT035,2004,2716.4640000000004,19,lowviz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDQ49,12.792854228644991,4395,Breakfast,155.963,OUT027,1985,3285.723,38,lowviz,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDN33,6.305,11064,Snack Foods,95.6436,OUT046,1997,661.8052,26,viz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDN27,20.85,4468,Meat,117.2808,OUT049,1999,1523.3504,24,lowviz,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDW20,20.75,4563,Fruits and Vegetables,122.17299999999999,OUT010,1998,369.519,25,lowviz,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
DRG27,8.895,10226,Dairy,39.9138,OUT049,1999,690.4346,24,viz,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
DRI25,19.6,3630,Soft Drinks,55.1614,OUT045,2002,1381.535,21,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDA44,19.7,6050,Fruits and Vegetables,57.893,OUT035,2004,622.523,19,lowviz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCR17,9.8,2160,Health and Hygiene,114.5492,OUT035,2004,1274.3412,19,lowviz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDU04,12.792854228644991,301,Frozen Foods,120.0414,OUT019,1985,487.3656,38,lowviz,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDF41,12.15,11423,Frozen Foods,246.046,OUT049,1999,1231.73,24,highviz,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
